注文番号,商品コード,商品名,数量,種別,適用サイズ_実績,適用サイズ_予測,総数量,充填率,lx,ly,lz
064,32323,90日 通販 ｶﾙｼｳﾑ/ﾏｸﾞ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.784245,170,138,31
064,70073,30日ｺｴﾝｻﾞｲﾑQ10還元型,2,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.784245,169,100,8
065,22931,薬用BBｸﾘｰﾑGEﾅﾁｭﾗﾙｵｰｸﾙ01,1,機械学習（60->ネコポス）,60サイズ,ネコポス,5,0.56061,133,36,36
065,70073,30日ｺｴﾝｻﾞｲﾑQ10還元型,4,機械学習（60->ネコポス）,60サイズ,ネコポス,5,0.56061,169,100,8
066,22572,CCﾊﾟｰﾌｪｸﾄｶﾗｰﾍﾞｰｽ GE ﾍﾞｰｼﾞｭ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.524456,148,30,30
066,23571,ﾜﾝﾀﾞｰｶﾊﾞｰBBﾘｷｯﾄﾞ a ﾅﾁｭﾗﾙｵｰｸﾙ01 30g,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.524456,107,37,25
066,536557803,つめたッペチグレージュM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.524456,300,290,5
067,536557803,つめたッペチグレージュM,1,機械学習（60->ネコポス）,60サイズ,ネコポス,1,0.341947,300,290,5
068,23028,ｻﾞﾗｲﾝｼｮｯﾄ,2,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.190014,125,28,27
068,71,ｱｲﾗｯｼｭﾄﾆｯｸ ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.190014,101,29,18
069,40177,PVかゆみ止めｸﾘｰﾑ,1,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.164795,130,35,24
069,40260,口内炎軟膏,2,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.164795,93,30,18
070,23355,PANｵｲﾙﾌﾞﾛｯｸﾃﾞｲｾﾗﾑ,2,機械学習（60->ネコポス）,60サイズ,ネコポス,2,0.157217,50,50,40
071,897,ｴｯｾﾝｼｬﾙｵｲﾙ ﾗﾍﾞﾝﾀﾞｰ,3,機械学習（60->ネコポス）,60サイズ,ネコポス,3,0.133713,63,30,30
072,152607800,リュックになる肩掛けバッググレージュなし,1,機械学習（80->60）,80サイズ,60サイズ,2,3.665814,430,420,90
072,153048394,至福履き・もっちりクッションサンダルブラウン24.0cm,1,機械学習（80->60）,80サイズ,60サイズ,2,3.665814,320,285,100
073,152949492,こんなの欲しい・ヨコ伸びサンダルブラック23.0cm,1,機械学習（80->60）,80サイズ,60サイズ,2,2.035311,320,285,100
073,538267604,快4ブラモカL,1,機械学習（80->60）,80サイズ,60サイズ,2,2.035311,240,230,90
074,22146,薬用Qﾌｪｰｽﾐﾙｸ,1,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,140,50,50
074,22911,ﾋﾟｭｱｶﾗｰ ﾘｯﾌﾟｸﾘｰﾑAP103,1,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,83,17,17
074,23565,RTN ｴ-ｴｯｾﾝｽ 5g*3本,1,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,105,96,20
074,540595104,風が通るメッシュブラサックスL,2,機械学習（80->60）,80サイズ,60サイズ,5,1.72146,350,270,60
075,150643100,たっぷり入るコンパクトショルダー (軽量)ミントなし,1,機械学習（80->60）,80サイズ,60サイズ,2,1.514261,240,185,81
075,150649400,たっぷり入るコンパクトショルダー (軽量)ブラックなし,1,機械学習（80->60）,80サイズ,60サイズ,2,1.514261,300,270,85
076,152959202,ゴムがのびる・美人見えレースサンダルグレーS,1,機械学習（80->60）,80サイズ,60サイズ,3,1.499034,320,285,80
076,22919,美容液ﾄﾘｰﾄﾒﾝﾄEX詰替え用,2,機械学習（80->60）,80サイズ,60サイズ,3,1.499034,220,100,70
077,540178204,ちょっとおでかけエプロンドレスモカブラウンL,1,機械学習（80->60）,80サイズ,60サイズ,3,1.451069,360,310,30
077,540179304,ちょっとおでかけエプロンドレスチャコールグレーL,2,機械学習（80->60）,80サイズ,60サイズ,3,1.451069,360,310,30
078,151164204,UV美肌シアーパーカーオフホワイトL,1,機械学習（80->60）,80サイズ,60サイズ,5,1.286704,310,250,30
078,32675,30日 ｷﾞｬﾊﾞ(GABA),3,機械学習（80->60）,80サイズ,60サイズ,5,1.286704,169,100,9
078,535070359,ソフトモールドブラスモーキーピンクC80,1,機械学習（80->60）,80サイズ,60サイズ,5,1.286704,350,250,70
079,153324525,ドライタッチ・体型カバーブラウスホワイトストライプ13号,2,機械学習（80->60）,80サイズ,60サイズ,4,1.022857,400,295,15
079,153324525,ドライタッチ・体型カバーブラウスホワイトストライプ13号,2,機械学習（80->60）,80サイズ,60サイズ,4,1.022857,400,295,15
080,22989,ｱﾌﾀｰﾊﾞｽﾍｱｾﾗﾑ,2,機械学習（80->60）,80サイズ,60サイズ,5,0.997444,179,49,49
080,70056,ｺﾗｰｹﾞﾝﾊﾟｳﾀﾞｰ,3,機械学習（80->60）,80サイズ,60サイズ,5,0.997444,212,198,48
081,153189405,速乾アクアブリーズ・フレアカットソーブラックLL,4,機械学習（80->60）,80サイズ,60サイズ,4,0.997285,390,295,15
082,539000603,やわらかルームウエア上下セット・7分袖 (速乾)ピンク系M,1,機械学習（80->60）,80サイズ,60サイズ,3,0.970847,340,280,30
082,539000603,やわらかルームウエア上下セット・7分袖 (速乾)ピンク系M,1,機械学習（80->60）,80サイズ,60サイズ,3,0.970847,340,280,30
082,540708800,持ち歩ける氷のう (保冷ケース付き)グレー系なし,1,機械学習（80->60）,80サイズ,60サイズ,3,0.970847,120,120,70
083,153087205,クレープジャージーワンピースベージュLL,2,機械学習（80->60）,80サイズ,60サイズ,2,0.958928,450,295,25
084,22434,薬用Qｸｲｯｸｼﾞｪﾙ　ﾓｲｽﾄ&ﾎﾜｲﾄﾆﾝｸﾞ,1,機械学習（80->60）,80サイズ,60サイズ,5,0.954053,73,73,57
084,22918,美容液ｼｬﾝﾌﾟｰEX詰替え用,2,機械学習（80->60）,80サイズ,60サイズ,5,0.954053,230,100,70
084,22919,美容液ﾄﾘｰﾄﾒﾝﾄEX詰替え用,2,機械学習（80->60）,80サイズ,60サイズ,5,0.954053,220,100,70
085,153039904,足裏よろこぶフットベッドサンダルシャンパンL,1,機械学習（80->60）,80サイズ,60サイズ,2,0.946684,255,190,95
085,540625634,5足組・くるぶし丈ソックス (ハワイアン柄)ブルー系23-25cm,1,機械学習（80->60）,80サイズ,60サイズ,2,0.946684,260,150,50
086,153305323,軽やかシャーリングスカートブルー9号,1,機械学習（80->60）,80サイズ,60サイズ,2,0.923749,520,370,25
086,539325103,速く乾くノンワイヤーブラサックスM,1,機械学習（80->60）,80サイズ,60サイズ,2,0.923749,360,220,20
087,153194205,速乾アクアブリーズ・タックカットソーオフホワイトLL,1,機械学習（80->60）,80サイズ,60サイズ,3,0.893555,350,250,10
087,153209405,速乾アクアブリーズ・リラックスパンツブラックLL,1,機械学習（80->60）,80サイズ,60サイズ,3,0.893555,400,295,30
087,153324525,ドライタッチ・体型カバーブラウスホワイトストライプ13号,1,機械学習（80->60）,80サイズ,60サイズ,3,0.893555,400,295,15
088,149687203,ふっくら軽いジップアップコーディガンベージュM,1,機械学習（80->60）,80サイズ,60サイズ,3,0.880052,445,330,40
088,538937234,ぬげない綿混フットカバー (深ばき)ベージュ23-25cm,1,機械学習（80->60）,80サイズ,60サイズ,3,0.880052,206,88,6
088,538937234,ぬげない綿混フットカバー (深ばき)ベージュ23-25cm,1,機械学習（80->60）,80サイズ,60サイズ,3,0.880052,206,88,6
089,152949994,こんなの欲しい・ヨコ伸びサンダルシャンパン24.0cm,1,機械学習（80->60）,80サイズ,60サイズ,3,0.810086,275,190,93
089,23117,ﾓｰﾆﾝｸﾞﾌｪｰｽｳｫｯｼｭ（詰め替え用）,2,機械学習（80->60）,80サイズ,60サイズ,3,0.810086,170,110,20
090,1,ｵﾘｰﾌﾞﾊﾞｰｼﾞﾝｵｲﾙ,2,機械学習（80->60）,80サイズ,60サイズ,5,0.609361,115,37,37
090,151023600,クールタオルガーゼ・ミニマフラーグリーン系なし,1,機械学習（80->60）,80サイズ,60サイズ,5,0.609361,190,180,10
090,540579403,遮熱インナー・長袖 (指穴付き)ブラックM,1,機械学習（80->60）,80サイズ,60サイズ,5,0.609361,270,250,10
090,540680603,さらさらルームパンツ・7分丈ピンク系M,1,機械学習（80->60）,80サイズ,60サイズ,5,0.609361,370,260,30
091,153215623,ソフトダブルガーゼ・半袖マチ付きスキッパーシャツブルーストライプ9号,1,機械学習（80->60）,80サイズ,60サイズ,3,0.565228,450,295,15
091,540653700,コンパクトダブルボディローラーミント系なし,1,機械学習（80->60）,80サイズ,60サイズ,3,0.565228,300,53,53
091,540739400,時短速乾・ヘアブラシブラックなし,1,機械学習（80->60）,80サイズ,60サイズ,3,0.565228,285,86,44
092,153279424,涼やかパンツ・ギャザーワイドブラック11号,1,機械学習（80->60）,80サイズ,60サイズ,1,0.505649,400,350,25
093,147533422,ユースフル・綿サテン9分丈パンツグリーン7号,1,機械学習（100->80）,100サイズ,80サイズ,3,1.383495,400,295,35
093,539000603,やわらかルームウエア上下セット・7分袖 (速乾)ピンク系M,1,機械学習（100->80）,100サイズ,80サイズ,3,1.383495,340,280,30
093,540710600,座ったままワンツーステッパーピンク系なし,1,機械学習（100->80）,100サイズ,80サイズ,3,1.383495,310,280,155
094,70088,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄﾌﾚｰｸ,3,機械学習（100->80）,100サイズ,80サイズ,3,1.358147,294,182,125
095,144690300,7つの仕切り付きトート (A4サイズ)スモーキーピンクなし,1,機械学習（100->80）,100サイズ,80サイズ,3,1.161813,450,380,45
095,152335400,ソフトダブルガーゼ・やさしいハットネイビーなし,1,機械学習（100->80）,100サイズ,80サイズ,3,1.161813,400,295,80
095,22396,ｱｲﾌﾞﾛｰﾊﾟｰﾌｪｸﾄﾌﾟﾛ　(ﾊﾟｳﾀﾞｰ) EBPN04,1,機械学習（100->80）,100サイズ,80サイズ,3,1.161813,85,27,13
096,151119104,涼美コット・フレアカットソーライトグレーL,1,機械学習（100->80）,100サイズ,80サイズ,3,1.12742,400,295,20
096,540653700,コンパクトダブルボディローラーミント系なし,1,機械学習（100->80）,100サイズ,80サイズ,3,1.12742,300,53,53
096,540710600,座ったままワンツーステッパーピンク系なし,1,機械学習（100->80）,100サイズ,80サイズ,3,1.12742,310,280,155
097,151193224,吸水速乾さらさらパンツスモーキーグリーン11号,1,機械学習（100->80）,100サイズ,80サイズ,3,1.029634,390,295,40
097,152155200,斜めポケット・肩にやさしい軽量トートスモーキーブルーなし,1,機械学習（100->80）,100サイズ,80サイズ,3,1.029634,560,500,35
097,539859233,バンビーナスリムレッグ・着圧エステニーハイソックス (シルク混)グレー22-25cm,1,機械学習（100->80）,100サイズ,80サイズ,3,1.029634,180,150,30
098,152549400,旅行に便利・肩にやさしい2WAYボストンブラックなし,1,機械学習（100->80）,100サイズ,80サイズ,2,0.954909,610,440,50
098,539347800,つめたッアームカバーグレージュなし,1,機械学習（100->80）,100サイズ,80サイズ,2,0.954909,215,160,20
099,151489404,ノンアイロン速乾・ギャザーブラウスブラックL,1,機械学習（100->80）,100サイズ,80サイズ,2,0.771143,360,295,15
099,152155200,斜めポケット・肩にやさしい軽量トートスモーキーブルーなし,1,機械学習（100->80）,100サイズ,80サイズ,2,0.771143,560,500,35
100,32740,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄｽﾑｰｼﾞｰ,1,機械学習（100->80）,100サイズ,80サイズ,2,0.661283,190,153,106
100,70088,ﾌﾟﾛﾃｨﾝﾀﾞｲｴｯﾄﾌﾚｰｸ,1,機械学習（100->80）,100サイズ,80サイズ,2,0.661283,294,182,125
